OID_,CID,view_zenith_mean_1,view_azimuth_mean_1,sun_azimuth_1,sun_zenith_1,B2_1,B3_1,B4_1,B5_1,B6_1,B7_1,B8A_1,B11_1,B12_1,flagsbyfiveall_1,lcdetail_fine_1,lcselectedint,LAI_1,CWC_1,CAB_1
,2,4.3903780,84.5243683,48.9279022,29.0595512,0.0280500,0.0455500,0.0229500,0.0802000,0.2924500,0.3688500,0.4166000,0.1644000,0.0636500,1,1.0000000,1,3.2808800,0.0067000,18.8084393
,2,3.0586843,308.0759277,48.7213974,28.0612984,0.0191000,0.0350500,0.0184000,0.0632000,0.2100500,0.2735000,0.3105000,0.1180000,0.0479500,1,1.0000000,1,2.9680800,0.0089500,19.6303005
,2,9.9302015,291.4532471,47.7806015,27.4652996,0.0148000,0.0295000,0.0124000,0.0597000,0.2698000,0.3563000,0.0000000,0.1389000,0.0509000,1,1.0000000,1,2.9297199,0.0075600,22.4935608
,2,9.1420069,275.7789307,49.1544991,26.7549000,0.0293000,0.0511000,0.0293000,0.0702000,0.2028000,0.2231000,0.2608000,0.0686000,0.0246000,0,1.0000000,1,,,
,2,2.5517230,313.3813477,49.4193993,27.7269497,0.0258000,0.0486500,0.0236500,0.0898000,0.2525000,0.3277500,0.3517000,0.1447000,0.0615000,1,1.0000000,1,2.4245501,0.0099300,19.5397797
,2,3.4045548,123.6244583,50.9589005,27.6690006,0.0090000,0.0228000,0.0108000,0.0552000,0.2092000,0.2796000,0.3110000,0.1365000,0.0538000,1,1.0000000,1,2.6626599,0.0086600,21.1162109
,2,7.9086709,274.3659058,47.8292007,27.7751007,0.0223000,0.0411000,0.0211000,0.0805000,0.2549000,0.3307000,0.0000000,0.1261000,0.0475000,1,1.0000000,1,2.8939500,0.0093600,19.1434193
,2,7.4974928,111.1688309,49.8702011,28.9911003,0.0172000,0.0340000,0.0203000,0.0663000,0.2240000,0.2948000,0.3271000,0.1247000,0.0506000,1,1.0000000,1,2.9798000,0.0088700,20.5939999
,2,6.3636103,295.1892090,49.8991013,26.7946014,0.0227500,0.0391500,0.0203500,0.0724000,0.2091000,0.2566000,0.2789500,0.0777000,0.0302500,1,1.0000000,1,2.8198700,0.0142300,16.6976891
,2,1.4913177,41.8609428,50.0651016,27.7957993,0.0158000,0.0388000,0.0166000,0.0819000,0.2403000,0.2986000,0.3555000,0.1489000,0.0625000,1,1.0000000,1,2.9084599,0.0080600,18.3705101
,2,3.9711661,120.2318115,48.8789978,29.0260506,0.0270000,0.0297000,0.0150500,0.0402000,0.1498000,0.2034500,0.2219000,0.0722000,0.0277000,1,1.0000000,1,2.1636600,0.0173400,29.9776096
,2,1.4602189,40.5084076,51.3780975,27.0456009,0.0135500,0.0274500,0.0177000,0.0554500,0.1726000,0.2379000,0.2507000,0.0848500,0.0312500,1,1.0000000,1,2.5511200,0.0134700,22.8370304
,2,2.0130987,244.3960571,50.9856987,26.9246006,0.0226000,0.0400000,0.0176000,0.0690000,0.2512000,0.3237000,0.3598000,0.1339000,0.0518000,1,1.0000000,1,3.2726901,0.0072200,17.8819599
,2,1.6305383,233.2183685,50.3259010,27.3781509,0.0154000,0.0330000,0.0137500,0.0707500,0.2389000,0.3099000,0.3351000,0.1280000,0.0502500,1,1.0000000,1,3.2964799,0.0068600,19.0603294
,2,2.9776144,308.7856445,48.7887993,28.0337505,0.0195500,0.0312000,0.0175500,0.0486500,0.1383500,0.1836500,0.2012000,0.0843500,0.0372000,1,1.0000000,1,2.4168601,0.0123400,20.9218102
,2,7.9086709,274.3659058,47.8292007,27.7751007,0.0215000,0.0343000,0.0186000,0.0682000,0.2401000,0.2861000,0.0000000,0.1449000,0.0517000,1,1.0000000,1,2.5940101,0.0085900,21.0474701
,2,9.5686760,276.1843262,48.7994003,26.8920994,0.0184000,0.0377000,0.0166000,0.0673000,0.2264000,0.2726000,0.3079000,0.0735000,0.0290000,1,1.0000000,1,3.2577000,0.0126800,15.4045296
